seg,chain,kind,dir,bias,cmd_duty_q15,tick,window_valid,pos,duty_q15,current_raw,vmotor_a,vmotor_b,vbus_raw
4,0,probe,1,0,6553,0,0,2241,3276,148,2291,542,2166
4,0,probe,1,0,6553,1,1,2245,6553,146,2295,542,2169
4,0,probe,1,0,6553,2,1,2245,6553,161,2285,548,2146
4,0,probe,1,0,6553,3,1,2245,6553,176,2275,548,2130
4,0,probe,1,0,6553,4,1,2245,6553,184,2265,550,2118
4,0,probe,1,0,6553,5,1,2244,6553,191,2258,550,2110
4,0,probe,1,0,6553,6,1,2243,6553,198,2252,550,2103
4,0,probe,1,0,6553,7,1,2243,6553,201,2249,550,2100
4,0,probe,1,0,6553,8,1,2243,6553,200,2247,550,2097
4,0,probe,1,0,6553,9,1,2241,6553,203,2244,551,2094
4,0,probe,1,0,6553,10,1,2240,6553,205,2243,550,2093
4,0,probe,1,0,6553,11,1,2241,6553,205,2243,550,2093
4,0,probe,1,0,6553,12,1,2242,6553,204,2243,551,2093
4,0,probe,1,0,6553,13,1,2243,6553,205,2243,551,2092
4,0,probe,1,0,6553,14,1,2243,6553,205,2244,551,2093
4,0,probe,1,0,6553,15,1,2242,6553,205,2243,551,2093
4,0,probe,1,0,6553,16,1,2244,6553,202,2246,551,2097
4,0,probe,1,0,6553,17,1,2245,6553,197,2249,551,2098
4,0,probe,1,0,6553,18,1,2245,6553,199,2248,550,2099
4,0,probe,1,0,6553,19,1,2243,6553,200,2246,550,2095
5,0,probe,1,0,3276,0,1,2243,6553,201,2245,551,2096
5,0,probe,1,0,3276,1,0,2244,3276,197,2247,551,2098
5,0,probe,1,0,3276,2,0,2243,3276,179,2260,547,2130
5,0,probe,1,0,3276,3,0,2238,3276,167,2268,544,2140
5,0,probe,1,0,3276,4,0,2236,3276,162,2275,543,2149
5,0,probe,1,0,3276,5,0,2237,3276,155,2280,541,2155
5,0,probe,1,0,3276,6,0,2242,3276,145,2289,543,2164
5,0,probe,1,0,3276,7,0,2244,3276,145,2295,543,2169
5,0,probe,1,0,3276,8,0,2245,3276,144,2296,543,2171
5,0,probe,1,0,3276,9,0,2246,3276,143,2296,542,2170
5,0,probe,1,0,3276,10,0,2246,3276,143,2295,543,2171
5,0,probe,1,0,3276,11,0,2244,3276,143,2294,541,2168
5,0,probe,1,0,3276,12,0,2242,3276,140,2292,541,2168
5,0,probe,1,0,3276,13,0,2241,3276,140,2292,540,2168
5,0,probe,1,0,3276,14,0,2240,3276,134,2296,541,2170
5,0,probe,1,0,3276,15,0,2242,3276,133,2297,540,2173
5,0,probe,1,0,3276,16,0,2245,3276,135,2301,541,2176
5,0,probe,1,0,3276,17,0,2248,3276,136,2302,541,2179
5,0,probe,1,0,3276,18,0,2246,3276,130,2302,541,2177
5,0,probe,1,0,3276,19,0,2243,3276,132,2297,540,2173
6,0,probe,1,0,6553,0,0,2244,3276,139,2296,543,2173
6,0,probe,1,0,6553,1,1,2246,6553,138,2299,542,2175
6,0,probe,1,0,6553,2,1,2245,6553,154,2291,547,2152
6,0,probe,1,0,6553,3,1,2245,6553,165,2279,546,2136
6,0,probe,1,0,6553,4,1,2244,6553,175,2269,548,2125
6,0,probe,1,0,6553,5,1,2244,6553,183,2263,548,2118
6,0,probe,1,0,6553,6,1,2242,6553,186,2259,549,2111
